"id_individu";"nom";"prenom";"pays";"annee";"photo"
28;"Blanc";"Mel";"US";1908;"https://www.google.com/search?q=blanc+mel&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk00-AKLUeJF7ePwY1DytIL_Sjnyj8A:1618137606457&tbm=isch&source=iu&ictx=1&fir=TGtN6SfJjsyphM%252CnkSnx8WcejCHLM%252C%252Fm%252F0c5vh&vet=1&usg=AI4_-kSS2tADKjcicPir93Y44KDc0d5oCg&sa=X&ved=2ahUKEwiLyeupgPbvAhUyzYUKHQeMBqgQ_B16BAgpEAE#imgrc=TGtN6SfJjsyphM"
29;"Busey";"Gary";"Goose Creek";1944;"https://www.google.com/search?q=busey+gary&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk011ayYikErE78wWSbfcx2mSCg788w:1618137642997&tbm=isch&source=iu&ictx=1&fir=fzGfh8g21g__jM%252CofMf5BDZBjip9M%252C%252Fm%252F03ds3&vet=1&usg=AI4_-kSpQc_Aj2OOB9QyvuUFfmycS00zqA&sa=X&ved=2ahUKEwj57KG7gPbvAhUMxYUKHaBKATsQ_B16BAgqEAE#imgrc=fzGfh8g21g__jM"
30;"De Niro";"Robert";"US";1943;"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfkWvus-7d2a_8s8NVDrM_ftIRabOsDVDHUg&usqp=CAU"
31;"Bauer";"Belinda";"UK";1962;"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfyJdI3pWdDAhKWZmhAewNTvpR-hmuFreXZQ&usqp=CAU"
32;"Flanders";"Ed";"US";1934;"https://static.wikia.nocookie.net/mash/images/2/24/Ed_Flanders_MASH.jpg/revision/latest?cb=20120930231429"
33;"Connery";"Sean";"UK";1930;"https://lvdneng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2020/11/01/node_887221/49462476/public/2020/11/01/B9725120196Z.1_20201101165024_000%2BGOUGVSGK7.3-0.jpg?itok=YUcVRZdN1604245833"
34;"Attenborough";"Richard";"Cambridge";1923;"https://anniversaire-celebrite.com/upload/250x333/richard-attenborough-250.jpg"
35;"Beck";"Kimberly";"US";1956;"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgslo-Y7uHdyzZJXMEz-sWWfcWVkg9nkHC1w&usqp=CAU"
36;"Kingsley";"Ben";"Snainton";1943;"http://t0.gstatic.com/licensed-image?q=tbn:ANd9GcRpbXJfEGOShwid_hfw7LGM3Zz0EkEQB_-FM2LvPt7xAXXeOA765FGE-JK-VIti"
37;"Adolphson";"Edvin";"SE";1893;"https://www.malmostadsteater.se/sites/all/files/styles/production_large/public/artist/edvin_adolphson.jpg?itok=UIOgihHr"
38;"Nicholson";"Jack";"Neptune";1937;"https://www.google.com/search?q=Nicholson;Jack&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk00wxGLTAvp5qWi-IZbe-vZOdNzOYw:1618138357291&tbm=isch&source=iu&ictx=1&fir=4znN9jgC2sHNDM%252CjzKJs2bIaP8JtM%252C%252Fm%252F09fb5&vet=1&usg=AI4_-kTnNl1avifN4_3QfLtJzcPkrka0bg&sa=X&ved=2ahUKEwjD2u6Pg_bvAhWry4UKHUoACusQ_B16BAghEAE#imgrc=4znN9jgC2sHNDM"
39;"Taylor";"Jud";"US";1932;"https://www.google.com/search?q=Taylor+jud&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk000VDVYbZaH_re4RtsOwE3_0bTpig:1618138424607&tbm=isch&source=iu&ictx=1&fir=QW99CsZA3DYnEM%252CQCxnXJzP-YVDOM%252C%252Fm%252F02t5kb&vet=1&usg=AI4_-kQH_a5_ppzZINveSiSG3pec7lkyOQ&sa=X&ved=2ahUKEwiOlPuvg_bvAhWCxYUKHSyVBQYQ_B16BAgnEAE#imgrc=QW99CsZA3DYnEM"
40;"Bennett";"Joan";"Palisades";1910;"https://www.google.com/search?q=Bennett+joan&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01L2CZTynfgof3ihgP_u8_K3Jvexg:1618144276518&tbm=isch&source=iu&ictx=1&fir=_pniVGYe_zmE6M%252CNljf9UWZsRccIM%252C%252Fm%252F02m30v&vet=1&usg=AI4_-kSHdRm3zFHuYgfFwXfv4tu5Es8IOw&sa=X&ved=2ahUKEwjc2a-WmfbvAhW2BGMBHZs6BOMQ_B16BAggEAE#imgrc=_pniVGYe_zmE6M"
41;"Ford";"Greg";"US";1960;"https://www.google.com/url?sa=i&url=https%3A%2F%2Ffr.wikipedia.org%2Fwiki%2FGreg_Ford&psig=AOvVaw04lLGSGlNb0RgsJBcbRxcT&ust=1618230757083000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLCiz72Z9u8CFQAAAAAdAAAAABAD"
42;"Hackman";"Gene";"US";1930;"https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fc%2Fc4%2FGeneHackmanJun2108.jpg&imgrefurl=https%3A%2F%2Ffr.wikipedia.org%2Fwiki%2FGene_Hackman&tbnid=C2REyZtDDiHbzM&vet=12ahUKEwid67rSmfbvAhUP0-AKHSwJAAoQMygAegUIARC4AQ..i&docid=jBqTy-QgiDhyyM&w=293&h=323&q=Hackman%20gene&hl=fr&client=firefox-b-d&ved=2ahUKEwid67rSmfbvAhUP0-AKHSwJAAoQMygAegUIARC4AQ"
43;"Ford";"Harrison";"US";1942;"https://www.google.com/search?q=Ford+Harrison&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk02mjmnRlzkaoyX9yjg1_d-rm_tjOw:1618144465216&tbm=isch&source=iu&ictx=1&fir=_O3F50fijTTy3M%252CgIoQm-pzheH-gM%252C%252Fm%252F0c0k1&vet=1&usg=AI4_-kSoqmD9NPKHP_ubgqTz1W3IkoXadA&sa=X&ved=2ahUKEwjqh63wmfbvAhURlBQKHcNWBswQ_B16BAgpEAE#imgrc=_O3F50fijTTy3M"
