"id_categorie";"nom"
1;"Action"
2;"Aventure"
3;"Comédie"
4;"Policier"
5;"Drame"
6;"Fantastique"
7;"Horreur"
8;"Musical"
9;"Mystère"
10;"Romance"
11;"Science Fiction"
12;"Court-Métrage"
13;"Guerre"
14;"Western"
