"id_film";"id_acteur"
1;29
1;31
2;42
2;47
3;52
3;47
5;43
5;46
6;19
6;17
7;27
7;22
10;30
10;9
11;12
11;40
12;11
12;40
13;28
13;15
15;36
15;23
16;33
16;23
17;38
17;23
18;20
18;23
21;10
21;24
22;26
22;24
23;57
23;58
24;58
24;64
25;58
26;60
27;30
27;61
28;57
28;63
29;57
29;63
